,Log2 fold change,std error (log2),Lower confidence limit (log2),Upper confidence limit (log2),Linear fold change,Lower confidence limit (linear),Upper confidence limit (linear),P-value,BY.p.value,method,Gene.sets,probe.ID
PLXDC2-mRNA,1.21,0.198,0.824,1.6,2.32,1.77,3.03,5.52E-06,0.0136,lm.nb,Microglial Markers,NM_032812.7:685
PLAA-mRNA,-0.552,0.0903,-0.729,-0.375,0.682,0.603,0.771,5.63E-06,0.0136,loglinear,"Neurogenesis, Proteotoxic Stress",NM_001031689.2:574
ERBB3-mRNA,1.54,0.293,0.97,2.12,2.92,1.96,4.34,3.66E-05,0.0431,lm.nb,"MAPK & PI3K, Neurogenesis",NM_001005915.1:261
EGR1-mRNA,-1.77,0.338,-2.43,-1.11,0.293,0.185,0.464,3.98E-05,0.0431,lm.nb,"Cytokines, Interferon Signaling, Microglia Neurodegenerative Phenotype (MGnD), Microglial Markers",NM_001964.2:838
P2RX7-mRNA,1.34,0.259,0.835,1.85,2.53,1.78,3.6,4.44E-05,0.0431,lm.nb,"Calcium Signaling, Inflammasome, Neuroactive Ligands and Receptors",NM_002562.5:780
HSD17B4-mRNA,0.427,0.0868,0.256,0.597,1.34,1.19,1.51,8.36E-05,0.0675,lm.nb,Lipid Metabolism,NM_000414.3:2235
IP6K2-mRNA,0.509,0.109,0.296,0.722,1.42,1.23,1.65,0.000142,0.0941,lm.nb,Interferon Signaling,NM_001005910.2:277
PLXNB3-mRNA,1.64,0.353,0.948,2.33,3.12,1.93,5.03,0.000155,0.0941,lm.nb,Neurogenesis,NM_001163257.1:3663
ACLY-mRNA,-0.646,0.145,-0.931,-0.362,0.639,0.525,0.778,0.000243,0.131,lm.nb,Lipid Metabolism,NM_001096.2:3195
OLIG2-mRNA,0.862,0.201,0.469,1.25,1.82,1.38,2.39,0.000352,0.17,lm.nb,"Myelogenesis, Oligodendrocyte DifferentiationMaturation",NM_005806.3:400
UGT8-mRNA,1.31,0.308,0.708,1.92,2.48,1.63,3.77,0.000385,0.17,lm.nb,"Myelogenesis, Oligodendrocyte Markers",NM_001128174.1:1135
UBE4B-mRNA,0.33,0.0786,0.176,0.484,1.26,1.13,1.4,0.000444,0.173,lm.nb,"Neurogenesis, Proteotoxic Stress",NM_006048.3:1560
SOX10-mRNA,1.18,0.285,0.625,1.74,2.27,1.54,3.35,0.000494,0.173,lm.nb,"Myelogenesis, Neurogenesis, Oligodendrocyte DifferentiationMaturation, Oligodendrocyte Markers",NM_006941.3:1057
UBE2N-mRNA,-0.597,0.144,-0.88,-0.315,0.661,0.543,0.804,5.00E-04,0.173,lm.nb,Antigen Processing and Presentation,NM_003348.4:357
PSMA5-mRNA,-0.71,0.174,-1.05,-0.369,0.611,0.483,0.774,0.000585,0.189,lm.nb,Antigen Processing and Presentation,NM_002790.2:235
PKD2-mRNA,0.502,0.125,0.256,0.747,1.42,1.19,1.68,0.000692,0.19,lm.nb,NO Metabolism and Signaling,NM_000297.2:2565
OLIG1-mRNA,1.23,0.307,0.627,1.83,2.34,1.54,3.55,0.000697,0.19,lm.nb,Oligodendrocyte DifferentiationMaturation,NM_138983.3:102
TXN-mRNA,-0.627,0.157,-0.934,-0.32,0.648,0.523,0.801,0.000707,0.19,lm.nb,"Inflammasome, Oxidative & Nitrosative Stress, Primed Microglia",NM_003329.2:55
BIN1-mRNA,0.571,0.144,0.289,0.854,1.49,1.22,1.81,0.000765,0.195,lm.nb,"Cytoskeletal Dynamics, Microglia Neurodegenerative Phenotype (MGnD), Phagocytosis, Primed Microglia",NM_004305.4:379
EMP1-mRNA,-2.71,0.687,-4.05,-1.36,0.153,0.0602,0.389,0.000807,0.195,lm.nb,A2 Astrocyte,NM_001423.2:364
LAMP2-mRNA,0.843,0.215,0.421,1.27,1.79,1.34,2.4,0.000853,0.197,lm.nb,Autophagy,NM_002294.2:380
GRN-mRNA,0.576,0.148,0.285,0.866,1.49,1.22,1.82,0.000926,0.202,lm.nb,"Astrocyte DifferentiationFunction, Microglia Neurodegenerative Phenotype (MGnD), Neurogenesis, Primed Microglia",NM_002087.2:546
