"","FTD_E14-123","Control_E08-101","FTD_E15-66","AD_OS-140909","FTD_OS-150716","FTD_E07-70","FTD_E17-17","FTD_E08-24","FTD_E08-133","AD_E05-87","AD_E12-29","AD_E04-186","AD_E12-06","AD_E13-116","FTD_OS98-06","Control_OS03-390","Control_E06-41","Control_E14-06","Control_E05-130","Control_OS02-35","AD_E06-155","Control_E05-74","Control_E16-45","AD_E11-139"
"HAMP - mRNA",8.12957683941072,6.34953220079654,7.18446078528486,6.22495057920717,7.07602488167352,5.14462871161941,7.40961455062448,5.76524569399484,5.65775841539625,4.06687106234035,5.45461745878562,5.19931628431245,6.25249025489286,6.78514894330877,6.56414396939092,7.6308916139262,7.03432234029558,4.10140878312038,4.49995719778706,7.92980593629874,5.23906518672515,4.31847677549591,5.04808982447853,4.22005867815608
"LAIR1 - mRNA",7.74053454866482,6.18726077189767,8.12596513597471,7.00255815787072,7.50718204631564,7.15489704707324,6.80726997167509,6.29811968356754,5.91649268379642,6.14487357434162,6.07910832369341,7.27207262674776,6.41754950116336,6.49391764564433,5.42366274584109,5.80776937601028,5.71239424540822,4.92737938334533,5.65196029123211,6.89296916811837,6.00608801474754,5.01362219396749,4.52871566538495,4.87213537473578
"SLC11A1 - mRNA",7.04865684402715,6.18726077189767,7.72084310556095,6.0570059418931,7.18525395142827,6.10280853592479,7.31131247701268,6.81056968450433,5.30983511197594,5.25449806551612,5.93574414852223,5.83318838551455,6.49349835439666,6.84590297438787,7.13415612864611,6.30896351903884,5.03432234029558,4.5488677600916,6.05795265090795,7.16427118993576,5.02088501667562,3.62659907085825,3.79175007121875,3.58262875754079
"FPR1 - mRNA",8.02064246785755,6.34953220079654,7.0440881289203,5.94597462950436,6.90407219888422,5.18527069611676,6.66976644792516,6.14139417988009,5.02032849478096,5.32321081560013,5.91404907742291,6.14869021124248,7.16229244592129,6.15288072780926,4.82221212233137,5.07080378184408,5.81673090522295,4.68637128384153,4.88462104802239,6.04993851445677,4.86560679119771,4.73351427477476,5.11367816610611,5.319594351707
"CD84 - mRNA",6.80764874452335,5.18726077189767,5.40548766459707,6.3170687811956,6.89491219959875,6.86083574561882,6.32969100632754,6.04354685648194,4.8947976126971,5.59738577903913,5.80039229562735,6.29553159957175,6.63436089023651,6.0273498457254,4.13415612864611,4.03332907642541,5.36774607402077,5.13383026081276,5.23692279195327,5.2313853857943,5.3369125101233,4.92615935271715,4.79175007121875,4.73463185098584
"CD4 - mRNA",7.15557204794366,5.54983085128238,6.19398355940336,6.24071789506549,7.33500107093296,6.56993454635209,6.34783835303779,6.06863783744477,4.80459980372552,5.59738577903913,5.29591971276656,6.69888729380296,6.41754950116336,6.31207932265851,4.48779308326081,4.69229215859035,5.54021327002554,5.9818271673677,5.80576562731115,6.30800666739721,5.72810326744778,5.1356127183461,5.14538702583345,5.27068475122605
"TMEM100 - mRNA",7.34821712588606,6.08034556798116,7.46175588424382,7.42451507108936,7.51318078693708,6.7568126810756,5.64062010226564,6.91109656045829,6.53690402052186,5.96303525135581,6.66407082441457,7.56050380964704,7.1388334730973,6.22327005570066,4.54919362792495,5.54028906514529,6.4779289917712,7.14182305156629,5.57795970978834,5.15046539041073,6.21353009461802,6.1356127183461,5.52871566538495,6.0565599458732
"OLFML3 - mRNA",7.51814212732837,6.221208103821,7.55338635970939,7.27174479068611,7.57757137420703,7.29147009994869,6.11337309940077,7.75755130220484,6.61858781811557,6.46680166922898,5.62454246022793,6.40742447964265,7.01545105759202,6.8309526329219,4.60808731697852,5.30896351903884,6.19782107257846,7.10140878312038,5.5394855619737,6.04993851445677,5.74602517544504,5.31847677549591,5.42917999183404,5.80502117887724
"SELPLG - mRNA",7.10310462804952,5.83933746847736,6.2859060488444,6.87702727578687,7.28679197789034,7.64470231475406,6.96842476348967,6.81056968450433,5.70838448846622,6.54080225067276,5.99893797500943,7.18682534012925,7.06607713066198,7.27941313373819,5.00862524656225,4.17771898576059,6.04867763327265,5.92737938334533,4.72234961912351,4.80757767688772,6.60584751739678,5.73351427477476,5.42917999183404,5.82209469223618
"TFEC - mRNA",6.99207331566078,5.96486835056122,5.50064489763741,6.53733490142366,7.44578150165149,7.46655680650678,6.31131247701268,5.82536668643241,5.8727713063671,6.35637767953533,6.11758247150805,7.33001997595704,6.53002423042177,6.90420161495253,4.71911862936726,4.54028906514529,5.14535365268432,5.57271450204597,5.39612138680252,5.8423430950484,6.14764215896156,4.57001554249188,5.26568125955116,5.56245087560316
