,A1 Astrocyte,A2 Astrocyte,Angiogenesis,Antigen Processing and Presentation,Apoptosis,Astrocyte DifferentiationFunction,Astrocyte Markers,Autophagy,Blood Brain Barrier,Calcium Signaling,Cannabinoid Signaling,Cell Cycle,Cell Migration,Chemokines,Cholinergic Synapse,Circadian Signaling,Complement System,Cytokines,Cytoskeletal Dynamics,Dopaminergic Synapse,GABAergic Synapse,Gap Junctions,Glucose Metabolism,Glutamatergic Synapse,Homeostatic Microglia,Hypoxia,Inflammasome,Insulin Signaling,Interferon Signaling,Ion Transport,JAK-STAT,Lipid Metabolism,MAPK & PI3K,Microglia Neurodegenerative Phenotype (MGnD),Microglial Markers,Myelogenesis,Neuroactive Ligands and Receptors,Neurogenesis,Neuronal Markers,Neurotrophin Signaling,NF-kappaB Signaling,NO Metabolism and Signaling,Oligodendrocyte DifferentiationMaturation,Oligodendrocyte Markers,Oxidative & Nitrosative Stress,Phagocytosis,Primed Microglia,Proteotoxic Stress,Purinergic Signaling,Serotonergic Synapse,Stage 1 DAM,Stage 2 DAM,T-cell signaling,TGF-Beta Signaling,Wnt Signaling
AD_E04-186,0.336337451,-0.415463177,-0.052822766,-1.06119262,0.891143129,0.749540684,0.001817997,-0.046236166,1.448085141,0.451089717,0.176087731,-0.911966604,1.19291718,-0.5725744,-0.337789937,-0.015399051,0.493757673,0.486045372,-0.672755729,-0.110008614,-0.62037052,0.129878311,-1.305505573,-0.258813773,0.969532503,0.430390949,0.8593501,-0.251570861,-0.082967251,-0.657331248,0.413363259,0.903909081,-0.493809638,1.440312711,1.063089264,-0.767710514,-0.149748015,-1.087593814,-0.354487597,0.252859811,0.279492175,0.18544862,-0.3333204,-1.242483152,-0.199234877,-0.469733604,1.505840056,-1.027404026,1.043727063,0.068629234,0.510142836,0.259835759,0.930171759,0.13443232,-0.348194967
Control_E05-130,-1.602400856,-1.487205673,1.281143989,2.243858207,-1.320790267,-2.387405885,-3.365873712,1.141232043,-2.46949126,1.746012323,1.714262469,1.713714402,-2.537820963,-0.472170005,1.63724575,0.453294211,-1.545858098,-2.370972274,3.758491654,1.704262098,2.418128219,1.285794486,1.094712746,2.170083726,-1.396929425,0.823305369,-1.791425214,1.396980678,-0.875633948,2.249343342,-2.171610399,-2.111329908,2.444435981,-2.445081116,-2.800874124,-4.713773437,2.871652176,4.682443452,0.615138633,1.075894482,-1.101169525,-1.897775269,-4.440094378,-3.843728653,-0.650815734,2.1671438,-4.346588188,1.499480465,-2.400794062,1.360510079,-1.234949806,-1.667447335,-1.766897316,-1.70562628,1.198957233
Control_E08-101,2.583016906,3.539207311,-2.095929691,-2.011114281,0.592629738,0.598953651,2.764233788,-0.69005692,2.201005279,-3.979876293,-2.673135497,-1.712033505,2.472750294,1.526076623,-1.921852798,-0.58457905,-0.250162429,0.523778363,-3.975977644,-3.326858911,-2.772292993,-0.341902359,-0.533627768,-3.895489077,-0.75144244,1.045193808,0.038286726,0.028671332,3.911603719,-3.558089461,0.710542582,1.205152962,-2.916995822,-0.011433443,-0.434098252,2.193717106,-3.0660926,-5.649322912,-1.994213492,-0.760780175,0.125432339,0.616617373,-0.052954258,-0.129635149,0.031942328,-1.950445956,2.603454431,-1.21534584,0.260974331,-2.555133452,0.32993454,0.144461318,0.457461301,0.396410496,-1.490363418
AD_E12-06,-0.449349797,0.109137455,-0.592812935,-0.476828317,0.617408568,0.873535289,0.548974369,-0.544305799,0.144776064,0.25734134,0.152866927,-0.404530805,0.537101856,0.316563306,-0.081355797,-0.283414376,-0.253106958,1.302361447,-0.631516317,-0.008386532,-0.49917237,-0.572108214,0.065046782,0.012860037,0.268736524,-0.375004078,0.69379776,-0.298086685,-0.545126261,-0.44872085,0.110944467,0.879439153,-0.933669063,1.714572898,1.072593112,2.013353312,-0.529936779,-1.316139116,0.621131231,-0.439803926,0.545969404,1.021471871,2.384750454,1.739775622,0.476117735,-0.556784459,1.684834504,-0.939000332,1.521548029,-0.361273924,0.445382737,1.301511732,0.556486999,0.86212205,-0.347940671
AD_E13-116,-0.561721685,-0.118700476,0.005699548,-0.474240119,0.652283454,0.722027247,0.631024246,-0.835165394,0.131027403,-0.196729055,-0.362833154,-0.418737209,0.783953091,0.41853451,-0.329013041,-0.576769992,0.605212671,0.640277342,-1.061789754,-0.302214273,-0.605398546,-0.7698439,-0.777272221,-0.420231493,0.718597889,0.761356985,0.606907683,-0.443795771,-0.059758266,-0.79504875,0.323542118,0.465658548,-0.515365649,1.932053591,1.40908358,3.144713534,-0.575877802,-1.226463697,-0.248776569,-0.085786981,-0.07119843,0.453823216,2.73468758,3.178133799,-0.331560691,-0.877188252,1.489092988,-0.71892752,0.399522153,-0.285946441,0.749252204,1.229392351,0.192449616,0.221221192,-0.317036062
FTD_E14-123,1.63413882,3.069342505,-1.778493913,-3.140520676,1.929649523,2.123238042,2.73277858,-1.462417016,1.969026225,-4.467456153,-3.387640567,-2.453605723,3.222683213,1.281727095,-3.09816258,-1.346725668,2.445748496,3.385016704,-6.10380103,-3.994228722,-4.633127056,-1.073312394,-2.577126716,-3.816327925,1.797112898,1.423159903,1.633042459,-1.663425252,2.062192843,-4.492251856,1.063341949,2.384471799,-3.680956916,3.430417465,3.858255048,2.754309879,-4.026140682,-7.671024147,-2.763996476,-2.418545835,2.592827085,2.767724934,2.540908661,1.529866721,-0.477330479,-4.334549329,5.722431541,-3.353509577,1.978861398,-3.609604626,1.184901272,1.582871069,2.921785367,2.143211425,-1.675480303
Control_E16-45,-2.234711403,-2.522210779,1.36435272,2.665457652,-1.431222549,-2.330793302,-3.773175749,1.133879128,-1.682335165,2.455611854,2.047376423,1.516253329,-2.466658121,-1.80389513,1.669021031,0.736369758,-3.499514154,-3.214915709,3.582801096,2.164661629,2.482368111,0.733391911,1.724021241,2.296534515,-2.454626923,-1.763074421,-0.64382841,0.563822642,-2.704619055,2.485679785,-1.272669019,-1.961428306,2.413222717,-4.826531524,-4.380770917,-2.616671816,3.211442467,4.825912013,1.702257601,0.730141158,-1.681711784,-2.347266975,-2.376061113,-1.122576893,1.033114166,3.26152565,-5.759448112,1.583336494,-1.850449567,1.848011882,-1.943960669,-2.584046676,-2.125089647,-1.523397218,1.114203473
FTD_E17-17,0.834175116,0.321497805,-0.708446525,-1.279216241,0.53708708,0.882716872,1.414067839,-0.416382184,2.018253204,-0.596494783,-0.705045595,-0.484425624,1.232680161,-0.388745971,-0.437422513,-0.008984929,0.377270299,1.272459101,-1.029492091,-0.551884845,-0.565373066,-0.477229134,-0.337870442,-0.688423853,0.876555358,0.07234778,0.449034661,-0.354341053,0.160204689,-0.711595542,0.522478259,0.899607023,-0.785152705,1.186957108,1.22491698,0.84905694,-1.036225627,-1.323524631,-0.369582503,-0.591086292,0.320298634,0.780261883,0.926022467,-0.448716657,-0.120902118,-0.732360775,1.57863502,-0.136282578,1.376347279,-0.402301752,1.127365988,1.114498725,0.34950958,0.47173359,-0.401676564
Control_OS02-35,-0.172604849,-1.347750917,1.349538187,1.859821302,-1.582071577,-1.609385145,-1.582053268,1.163992399,-1.659008785,2.083984298,1.752077349,1.778190144,-2.080956685,-0.619062622,1.523491561,1.173544742,0.371341591,-2.049717371,3.662648239,1.988613851,2.737395351,0.783025351,1.285768574,2.288516198,-0.331434407,-1.035046206,-1.076988711,1.29388459,-0.842763923,2.514771632,-0.459291913,-2.521722778,2.902152008,-2.08289426,-1.725208362,-2.108373281,2.045780548,5.151471845,0.679874751,1.467229298,-1.781937878,-1.331936776,-2.135225591,-0.851210408,-0.016777347,1.987346644,-3.27976258,2.172461634,-1.905004654,1.653246548,-0.415207652,-1.223662321,-0.850243575,-1.043534055,1.332452
FTD_OS98-06,-1.101958407,-1.257679628,1.754609908,2.552026347,-2.283205918,-1.840315738,-0.943659279,1.261443522,-1.525675694,2.567489193,1.638307093,0.908774742,-2.477150415,-1.108233703,1.793910171,0.224608149,-3.047107879,-2.556342648,3.410789612,2.183230874,2.297076858,0.949891402,2.257204723,2.58793565,-3.491634467,-2.698221291,-0.47219792,1.237370063,-0.983524514,3.288961679,0.278722612,-0.680267814,1.764045549,-5.154157769,-3.583452026,-0.772564586,2.742225693,4.099399436,2.57094535,1.361623547,-1.963678587,-1.489869138,-0.163259866,0.255039196,1.643434705,2.832108723,-4.718320751,1.476532727,-1.968770907,2.154058806,-3.790813851,-2.128186585,-1.672778919,-0.410286706,0.958604549
AD_OS-140909,0.069590846,-0.160760164,0.150270232,0.151184873,0.244179058,0.626780586,0.511151505,-0.221755325,-0.211196996,0.33834711,0.511432095,0.661585996,-0.195885005,0.759300351,0.384519286,0.137611569,1.292349662,0.578003327,0.397155884,0.831997842,0.690113929,0.026478073,0.20953018,0.711996529,1.05847056,0.225766755,0.01854145,-0.588844938,-0.221378293,0.746136938,0.269591699,-0.150298985,0.425506965,1.528554892,1.291310885,-0.34996192,-0.082999199,0.99476582,0.58694276,-0.144032562,0.717141973,0.113254201,0.438643208,0.637318142,-0.38712007,0.098921773,0.73858655,0.847798126,0.853522441,0.608710476,1.002720088,0.856351211,0.020685465,0.045916186,0.348285476
FTD_OS-150716,0.665487857,0.270585739,-0.677108753,-1.029236127,1.152909761,1.5911077,1.060713685,-0.484228289,-0.364465415,-0.659319552,-0.863755272,-0.193219145,0.316385394,0.662479946,-0.802591133,0.090444637,3.010069126,2.004006346,-1.336553921,-0.579184397,-0.929347917,-0.674063533,-1.104881524,-0.988640533,2.73706193,1.089824447,-0.314520584,-0.920664745,0.181770259,-0.621855669,0.211044386,0.686809226,-0.623413428,3.287229447,3.005154812,0.373904782,-1.40408018,-1.479924248,-1.045233689,-0.447712526,2.018534593,1.128246061,0.475903237,0.298217432,-1.000867618,-1.425984214,2.78124454,-0.189139572,0.690516496,-0.47890683,2.035232313,1.114420751,0.986459369,0.407797001,-0.371810746
Control_E05-74,-1.825534266,-1.510451064,1.75327501,2.288916604,-1.264163867,-2.389899277,-3.253523387,0.92575824,-1.351672578,2.731888663,3.147510773,1.605215774,-2.168572482,-0.818866893,2.271803794,-0.091565494,-3.060777191,-2.583453909,3.555187056,2.606096774,3.11459322,1.26270666,1.340600869,3.303563194,-1.190641292,-1.07223432,-0.787652713,0.994459677,-1.882694665,2.352351202,-1.043158857,-0.476742867,2.314450592,-3.189440422,-2.844707206,-1.376042868,3.894149232,4.133516228,1.416783325,0.902685422,-1.983268593,-1.860125918,-0.668688197,-0.519289091,0.789633706,3.005265549,-4.365420093,1.395137906,-0.941800548,2.430241035,-1.214185293,-1.468500957,-1.296585092,-1.055851089,1.320581382
AD_E05-87,-0.349126405,-0.559050986,0.314734001,0.155428449,0.396766661,0.65502318,0.068549548,-0.112237452,0.284603784,0.533495396,-0.36623173,-0.471279264,0.07304052,-1.192827628,0.063843345,0.030867678,0.264158916,0.248086998,-0.060166677,0.246675797,-0.123322606,-0.456255443,-0.453187385,-0.173404729,0.454683726,-0.337253251,0.552896497,-0.116607867,-0.219345967,0.190693011,0.338595717,0.68468496,0.056065208,0.829235181,0.33034372,1.603778786,0.053059995,0.261944929,0.482789268,0.383178996,0.055665864,0.083599686,1.472778542,2.008199159,-0.086058122,-0.100746248,0.639571884,-0.37996638,-0.195258852,0.286710206,-0.012373405,0.314978587,-0.001527167,-0.320890316,-0.071763662
Control_E06-41,-0.460305102,-0.41828741,1.011179034,1.38048143,-1.235577084,-1.676551724,-2.241301965,1.08468953,-0.989091835,1.845941909,2.086594788,1.346871242,-1.170300128,2.664997582,1.568115824,0.877866698,-0.767305243,-0.940751067,3.305961203,1.872605729,2.499508489,0.97280323,1.056577066,2.35958818,-0.494765171,-0.463259065,-0.571954499,0.37739285,-0.821832859,2.444658417,-1.080342767,-1.582007597,2.051197717,-1.45336345,-0.446895537,-3.034265587,2.069260564,4.153369065,1.035167662,1.002395576,0.291901823,-1.078276167,-2.33031153,-1.764134177,0.232271591,1.529472218,-2.384229351,1.627907781,-0.757906755,1.380206049,-0.259786411,-0.800210782,-0.662652055,-0.073660558,1.158473097
AD_E06-155,-1.584391845,-2.555048308,1.247172568,1.727336004,-1.01007891,-1.174622383,-2.837679072,0.281085732,-1.598181377,2.096274179,1.753294003,0.875429242,-1.605497027,-0.940992031,1.315602161,0.367434897,-1.150033036,-1.638295764,2.777574425,2.001094828,1.934205347,0.453462811,0.710806705,1.986434707,0.464106358,-0.011097772,-0.3779134,0.614071209,-1.155057791,1.312299003,-0.904253911,-1.251766283,2.303757401,0.115685281,-0.331426368,-0.045781532,2.031928196,3.549643368,0.43792636,1.644260013,-2.03400506,-1.145817593,0.336082126,2.093706419,-0.295662454,1.858319306,-1.873480761,1.139079766,-1.017856866,1.654565139,0.453554296,-0.398394342,-1.097020011,-0.705336742,0.873450399
FTD_E07-70,1.350359791,0.82882891,-1.61703294,-2.585078978,1.776581413,2.724887334,3.960434788,-1.573966839,1.645125686,-3.996466494,-3.368409419,-1.947976808,2.573918436,0.537568057,-2.513148443,-0.931112076,2.700495227,1.51530256,-5.061449968,-3.108026829,-3.658624678,-1.412028708,-2.160460264,-3.383989241,2.362224921,0.989100726,1.518626682,-1.24122584,1.720833109,-3.599091443,1.404484176,1.660922005,-3.082147483,4.323121611,3.75732043,3.64769479,-4.356142734,-6.198417697,-2.339969862,-1.608275885,1.394454942,2.047088442,3.127777466,2.090818782,-1.101218961,-3.08639526,5.758386686,-1.639254148,2.414088604,-2.805605867,2.035400587,2.558978015,2.013555092,1.09525951,-1.554608165
FTD_E08-24,2.268904603,1.76139587,-1.893776787,-2.568204768,1.451998999,2.373710649,4.486922308,-1.271361776,2.408559428,-3.038830527,-2.491725986,-1.270358092,2.554261181,1.027789629,-1.884603313,-0.55848356,2.462082369,2.492305443,-4.520149547,-2.527968904,-2.80283869,-1.071756508,-0.912064237,-2.678936415,1.115026739,0.591586584,0.130304741,-0.867137276,1.759425282,-2.932699721,1.585752423,1.16974086,-2.757914501,1.977659594,2.322959051,2.905321605,-3.311144289,-5.284235853,-2.031580313,-1.521003521,1.252123854,2.110927434,2.261301462,0.703182748,-0.22954685,-2.632384778,4.195427736,-1.144347572,2.064995237,-2.100745138,0.811542151,1.775103795,1.387918948,0.922642712,-1.121130882
FTD_E08-133,0.927433701,0.278204655,-0.996085089,-0.756184345,0.518126551,0.941470867,2.051424672,-0.536157766,1.790337856,-1.355682633,-1.591952197,-1.205604919,1.193919401,-0.641793359,-1.272867173,-0.074769632,-0.025469523,0.03941423,-2.062661469,-1.498674747,-1.58025552,-0.590112083,-0.555322067,-1.869684057,-1.083230418,0.081862313,0.612929991,-0.452368651,0.424557993,-1.457466077,0.947879556,1.234762719,-1.758983067,-0.468238846,-0.602213437,1.387367013,-1.240149136,-2.726355899,-0.295301279,-0.595016913,-0.015798791,0.965127862,1.000560265,0.029609907,0.360472576,-0.811057029,0.825536908,-1.139304097,0.889709162,-1.231182397,-0.431315293,-0.204694553,0.29621712,0.42235421,-1.046697384
AD_E11-139,-2.559247064,-1.630533944,1.259267398,2.281522867,-0.975772803,-1.652928163,-3.995570538,0.868250179,-1.807580762,1.687713301,1.594275521,0.92932479,-1.714954882,-1.107903729,0.936005991,1.001613287,-2.266306715,-1.031614183,3.033668677,1.67612436,1.796974995,0.94157515,0.649857285,1.606091686,-1.088181209,-0.89234242,-0.518897474,0.98833074,-1.623917651,1.793725138,-1.535302269,-1.508822841,1.974424629,-2.308964199,-2.545622032,-3.312912633,2.318733901,3.548339,1.02136763,0.442310575,-1.549962611,-1.466949538,-2.81667432,-1.755395872,0.520602521,1.688144492,-3.835995376,0.655539647,-1.947569345,1.128686987,-1.069339856,-1.7975975,-1.328316738,-1.159861188,0.7768321
