pathway,.y.,group1,group2,n1,n2,p,p.signif,p.adj
Antigen Processing and Presentation,pathway_score,Control,AD,8,8,0.223,ns,1
Antigen Processing and Presentation,pathway_score,Control,FTD,8,8,0.00173,**,0.0318120475497177
Antigen Processing and Presentation,pathway_score,AD,FTD,8,8,0.0296,*,0.2803962572607803
Apoptosis,pathway_score,Control,AD,8,8,0.0332,*,0.2923507227397325
Apoptosis,pathway_score,Control,FTD,8,8,9.72e-4,***,0.02250748335309507
Apoptosis,pathway_score,AD,FTD,8,8,0.136,ns,0.8950344257371138
Astrocyte DifferentiationFunction,pathway_score,Control,AD,8,8,0.0131,*,0.16059260998123387
Astrocyte DifferentiationFunction,pathway_score,Control,FTD,8,8,6.07e-5,****,0.019573815651089087
Astrocyte DifferentiationFunction,pathway_score,AD,FTD,8,8,0.0328,*,0.2923507227397325
Astrocyte Markers,pathway_score,Control,AD,8,8,0.29,ns,1
Astrocyte Markers,pathway_score,Control,FTD,8,8,3.83e-4,***,0.019573815651089087
Astrocyte Markers,pathway_score,AD,FTD,8,8,0.00501,**,0.07457836745966023
Autophagy,pathway_score,Control,AD,8,8,0.0307,*,0.28647584533168263
Autophagy,pathway_score,Control,FTD,8,8,3.59e-4,***,0.019573815651089087
Autophagy,pathway_score,AD,FTD,8,8,0.067,ns,0.4928109100187482
Calcium Signaling,pathway_score,Control,AD,8,8,0.612,ns,1
Calcium Signaling,pathway_score,Control,FTD,8,8,0.00271,**,0.043443931543367266
Calcium Signaling,pathway_score,AD,FTD,8,8,0.0089,**,0.12365222335959636
Cannabinoid Signaling,pathway_score,Control,AD,8,8,0.257,ns,1
Cannabinoid Signaling,pathway_score,Control,FTD,8,8,3.89e-4,***,0.019573815651089087
Cannabinoid Signaling,pathway_score,AD,FTD,8,8,0.00611,**,0.08883767654225508
Cell Cycle,pathway_score,Control,AD,8,8,0.0519,ns,0.39075491932456713
Cell Cycle,pathway_score,Control,FTD,8,8,4.09e-4,***,0.019573815651089087
Cell Cycle,pathway_score,AD,FTD,8,8,0.0449,*,0.35850527281828637
Cholinergic Synapse,pathway_score,Control,AD,8,8,0.191,ns,1
Cholinergic Synapse,pathway_score,Control,FTD,8,8,4.85e-4,***,0.019573815651089087
Cholinergic Synapse,pathway_score,AD,FTD,8,8,0.0114,*,0.14545652507102255
Cytokines,pathway_score,Control,AD,8,8,0.0258,*,0.26420074545299765
Cytokines,pathway_score,Control,FTD,8,8,3.56e-4,***,0.019573815651089087
Cytokines,pathway_score,AD,FTD,8,8,0.0781,ns,0.561249824353999
Cytoskeletal Dynamics,pathway_score,Control,AD,8,8,0.188,ns,1
Cytoskeletal Dynamics,pathway_score,Control,FTD,8,8,5.98e-4,***,0.019573815651089087
Cytoskeletal Dynamics,pathway_score,AD,FTD,8,8,0.0142,*,0.16750852390668236
Dopaminergic Synapse,pathway_score,Control,AD,8,8,0.469,ns,1
Dopaminergic Synapse,pathway_score,Control,FTD,8,8,0.00187,**,0.033403963389117275
Dopaminergic Synapse,pathway_score,AD,FTD,8,8,0.0103,*,0.13701363979720993
