"","ProbeID","Codeset.Name","Probe.Label","Analyte.Type","Is.Control","Control.Type","Probe.Annotation","KEGG.Pathways","Cell.Type","Official.Gene.Name","probeLabel.Type","below.threshold"
"HAMP - mRNA","NM_021175.2:99","NS_HS_GLIAL_V1.0","HAMP","mRNA",0,"","TGF-Beta Signaling;Microglial Markers","","","HAMP","HAMP - mRNA","False"
"LAIR1 - mRNA","NM_001289023.2:864","NS_HS_GLIAL_V1.0","LAIR1","mRNA",0,"","T-cell signaling","","","LAIR1","LAIR1 - mRNA","False"
"SLC11A1 - mRNA","NM_000578.3:1679","NS_HS_GLIAL_V1.0","SLC11A1","mRNA",0,"","Phagocytosis;Microglial Markers","hsa04142;hsa04978","","SLC11A1","SLC11A1 - mRNA","False"
"FPR1 - mRNA","NM_002029.3:350","NS_HS_GLIAL_V1.0","FPR1","mRNA",0,"","Neuroactive Ligands and Receptors;Cytokines","hsa04015;hsa04080;hsa05150","Neutrophils","FPR1","FPR1 - mRNA","False"
"CD84 - mRNA","NM_003874.3:680","NS_HS_GLIAL_V1.0","CD84","mRNA",0,"","Primed Microglia","","Macrophages_Microglia","CD84","CD84 - mRNA","False"
"CD4 - mRNA","NM_000616.4:975","NS_HS_GLIAL_V1.0","CD4","mRNA",0,"","T-cell signaling","hsa04514;hsa04612;hsa04640;hsa04660;hsa05340","","CD4","CD4 - mRNA","False"
"TMEM100 - mRNA","NM_018286.2:655","NS_HS_GLIAL_V1.0","TMEM100","mRNA",0,"","Astrocyte Markers","","","TMEM100","TMEM100 - mRNA","False"
"OLFML3 - mRNA","NM_020190.4:490","NS_HS_GLIAL_V1.0","OLFML3","mRNA",0,"","Primed Microglia;Microglial Markers","","","OLFML3","OLFML3 - mRNA","False"
"SELPLG - mRNA","NM_001206609.1:326","NS_HS_GLIAL_V1.0","SELPLG","mRNA",0,"","Primed Microglia;Microglial Markers;Cell Migration","hsa04514;hsa05150","","SELPLG","SELPLG - mRNA","False"
"TFEC - mRNA","NM_012252.2:890","NS_HS_GLIAL_V1.0","TFEC","mRNA",0,"","Microglia Neurodegenerative Phenotype (MGnD)","","","TFEC","TFEC - mRNA","False"
"TMEM119 - mRNA","NM_181724.2:415","NS_HS_GLIAL_V1.0","TMEM119","mRNA",0,"","Stage 1 DAM;Primed Microglia;Microglial Markers;Microglia Neurodegenerative Phenotype (MGnD)","","","TMEM119","TMEM119 - mRNA","False"
"ITGAX - mRNA","NM_000887.4:1128","NS_HS_GLIAL_V1.0","ITGAX","mRNA",0,"","Stage 2 DAM;Primed Microglia;Microglia Neurodegenerative Phenotype (MGnD)","hsa04610;hsa04810;hsa05152","","ITGAX","ITGAX - mRNA","False"
"EGF - mRNA","NM_001963.4:1022","NS_HS_GLIAL_V1.0","EGF","mRNA",0,"","MAPK & PI3K;Cytokines","hsa04010;hsa04012;hsa04014;hsa04015;hsa04060;hsa04066;hsa04068;hsa04072;hsa04144;hsa04151;hsa04510;hsa04540;hsa04810;hsa05160;hsa05200;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05219;hsa05223;hsa05231","","EGF","EGF - mRNA","False"
"TLR7 - mRNA","NM_016562.3:3098","NS_HS_GLIAL_V1.0","TLR7","mRNA",0,"","NF-kappaB Signaling","hsa04620;hsa05162;hsa05164","","TLR7","TLR7 - mRNA","False"
"ITGAM - mRNA","NM_000632.3:515","NS_HS_GLIAL_V1.0","ITGAM","mRNA",0,"","Cell Migration","hsa04015;hsa04145;hsa04514;hsa04610;hsa04640;hsa04670;hsa04810;hsa05133;hsa05134;hsa05140;hsa05146;hsa05150;hsa05152;hsa05202","","ITGAM","ITGAM - mRNA","False"
"PTPRC - mRNA","NM_080923.2:154","NS_HS_GLIAL_V1.0","PTPRC","mRNA",0,"","T-cell signaling;Phagocytosis;Cell Migration","","CD45","","PTPRC - mRNA","False"
"TAP1 - mRNA","NM_000593.5:2075","NS_HS_GLIAL_V1.0","TAP1","mRNA",0,"","Primed Microglia;Antigen Processing and Presentation","hsa02010;hsa04145;hsa04612;hsa05168;hsa05340","","TAP1","TAP1 - mRNA","False"
"FCAR - mRNA","NM_133278.2:750","NS_HS_GLIAL_V1.0","FCAR","mRNA",0,"","","hsa04145;hsa05150","Neutrophils","FCAR","FCAR - mRNA","False"
"KCND1 - mRNA","NM_004979.4:2400","NS_HS_GLIAL_V1.0","KCND1","mRNA",0,"","Ion Transport","","","KCND1","KCND1 - mRNA","False"
"SELENOS - mRNA","NM_203472.1:466","NS_HS_GLIAL_V1.0","SELENOS","mRNA",0,"","Proteotoxic Stress;NO Metabolism and Signaling","hsa04141","","SELENOS","SELENOS - mRNA","False"
"P2RY14 - mRNA","NM_014879.2:205","NS_HS_GLIAL_V1.0","P2RY14","mRNA",0,"","Purinergic Signaling;Neuroactive Ligands and Receptors","hsa04080","","P2RY14","P2RY14 - mRNA","False"
"HSD11B1 - mRNA","NM_181755.1:155","NS_HS_GLIAL_V1.0","HSD11B1","mRNA",0,"","","","DC","HSD11B1","HSD11B1 - mRNA","False"
"P2RY11 - mRNA","NM_002566.4:729","NS_HS_GLIAL_V1.0","P2RY11","mRNA",0,"","Purinergic Signaling;Neuroactive Ligands and Receptors","hsa04080","","P2RY11","P2RY11 - mRNA","False"
"TMEM88B - mRNA","NM_001146685.1:222","NS_HS_GLIAL_V1.0","TMEM88B","mRNA",0,"","","","Oligodendrocytes","TMEM88B","TMEM88B - mRNA","False"
"ADGRA2 - mRNA","NM_032777.9:1278","NS_HS_GLIAL_V1.0","ADGRA2","mRNA",0,"","Blood Brain Barrier","","","ADGRA2","ADGRA2 - mRNA","False"
"TRAC - mRNA","ENST00000611116.1:361","NS_HS_GLIAL_V1.0","TRAC","mRNA",0,"","T-cell signaling","","","","TRAC - mRNA","False"
"PHYH - mRNA","NM_001037537.1:1015","NS_HS_GLIAL_V1.0","PHYH","mRNA",0,"","Lipid Metabolism","hsa04146","","PHYH","PHYH - mRNA","False"
"DLX2 - mRNA","NM_004405.3:590","NS_HS_GLIAL_V1.0","DLX2","mRNA",0,"","TGF-Beta Signaling;Oligodendrocyte DifferentiationMaturation;Neurogenesis","","Neuron","DLX2","DLX2 - mRNA","False"
