ProbeID,Codeset.Name,Probe.Label,Analyte.Type,Is.Control,Control.Type,Related.Probes,Probe.Annotation,KEGG.Pathways,Cell.Type,Official.Gene.Name,Fusion.Probe.Type,Fusion.Base,SNV.Probe.Type,SNV.LocID,SNV.annot
NM_002206.1:1170,NS_HS_GLIAL_V1.0,ITGA7,mRNA,FALSE,,,Cell Migration,hsa04151;hsa04510;hsa04810;hsa05410;hsa05412;hsa05414,Astrocytes,ITGA7,,,,,
NM_012190.2:329,NS_HS_GLIAL_V1.0,ALDH1L1,mRNA,FALSE,,,Astrocyte Markers,,Astrocytes,ALDH1L1,,,,,
NM_203468.1:206,NS_HS_GLIAL_V1.0,ENTPD2,mRNA,FALSE,,,Purinergic Signaling,hsa00230;hsa04742,Astrocytes,ENTPD2,,,,,
NM_201282.1:1354,NS_HS_GLIAL_V1.0,EGFR,mRNA,FALSE,,,Neurogenesis;MAPK & PI3K;Astrocyte Differentiation/Function,hsa04010;hsa04012;hsa04014;hsa04015;hsa04020;hsa04060;hsa04066;hsa04068;hsa04072;hsa04144;hsa04151;hsa04320;hsa04510;hsa04520;hsa04540;hsa04810;hsa04912;hsa04915;hsa04921;hsa05120;hsa05160;hsa05200;hsa05205;hsa05206;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05219;hsa05223;hsa05230;hsa05231,Astrocytes,EGFR,,,,,
NM_001171191.1:1666,NS_HS_GLIAL_V1.0,GDPD2,mRNA,FALSE,,,,,Astrocytes,GDPD2,,,,,
NM_001007525.3:3302,NS_HS_GLIAL_V1.0,NWD1,mRNA,FALSE,,,,,Astrocytes,NWD1,,,,,
NM_000346.3:868,NS_HS_GLIAL_V1.0,SOX9,mRNA,FALSE,,,Oligodendrocyte Differentiation/Maturation;Neurogenesis;Astrocyte Markers,hsa04024,Astrocytes,SOX9,,,,,
NM_020702.5:1180,NS_HS_GLIAL_V1.0,MYORG,mRNA,FALSE,,,,,Astrocytes,MYORG,,,,,
NM_001715.2:990,NS_HS_GLIAL_V1.0,BLK,mRNA,FALSE,,,,,B-cells,BLK,,,,,
NM_152866.2:620,NS_HS_GLIAL_V1.0,MS4A1,mRNA,FALSE,,,,hsa04640,B-cells,MS4A1,,,,,
NM_001192.2:635,NS_HS_GLIAL_V1.0,TNFRSF17,mRNA,FALSE,,,Cytokines,hsa04060;hsa04672,B-cells,TNFRSF17,,,,,
NM_001098725.1:370,NS_HS_GLIAL_V1.0,TCL1A,mRNA,FALSE,,,,hsa04151,B-cells,TCL1A,,,,,
NR_026800.2:9125,NS_HS_GLIAL_V1.0,FAM30A,mRNA,FALSE,,,,,B-cells,FAM30A,,,,,
NM_003121.4:28,NS_HS_GLIAL_V1.0,SPIB,mRNA,FALSE,,,,,B-cells,SPIB,,,,,
XM_011545981.1:713,NS_HS_GLIAL_V1.0,CD19,mRNA,FALSE,,,Complement System,hsa04151;hsa04640;hsa04662;hsa05169;hsa05340,B-cells,CD19,,,,,
NM_001284244.1:416,NS_HS_GLIAL_V1.0,PNOC,mRNA,FALSE,,,Cytoskeletal Dynamics,,B-cells,PNOC,,,,,
NM_001159488.1:132,NS_HS_GLIAL_V1.0,FCRL2,mRNA,FALSE,,,,,B-cells,FCRL2,,,,,
NM_080923.2:154,NS_HS_GLIAL_V1.0,PTPRC,mRNA,FALSE,,,T-cell signaling;Phagocytosis;Cell Migration,,CD45,,,,,,
NM_172099.2:439,NS_HS_GLIAL_V1.0,CD8B,mRNA,FALSE,,,T-cell signaling,hsa04514;hsa04612;hsa04640;hsa04660;hsa05340,CD8 T cells,CD8B,,,,,
NM_001768.6:1085,NS_HS_GLIAL_V1.0,CD8A,mRNA,FALSE,,,T-cell signaling,hsa04514;hsa04612;hsa04640;hsa04660;hsa05340,CD8 T cells,CD8A,,,,,
NM_006433.2:305,NS_HS_GLIAL_V1.0,GNLY,mRNA,FALSE,,,,,Cytotoxic cells,GNLY,,,,,
NM_004131.3:540,NS_HS_GLIAL_V1.0,GZMB,mRNA,FALSE,,,Apoptosis,hsa04650;hsa04940;hsa05202;hsa05320;hsa05330;hsa05332,Cytotoxic cells,GZMB,,,,,
NM_002258.2:85,NS_HS_GLIAL_V1.0,KLRB1,mRNA,FALSE,,,,hsa05144,Cytotoxic cells,KLRB1,,,,,
NM_007360.1:760,NS_HS_GLIAL_V1.0,KLRK1,mRNA,FALSE,,,,hsa04650;hsa05144,Cytotoxic cells,KLRK1,,,,,
NM_006144.2:155,NS_HS_GLIAL_V1.0,GZMA,mRNA,FALSE,,,Neuroactive Ligands and Receptors,hsa04080,Cytotoxic cells,GZMA,,,,,
NM_001335.3:1075,NS_HS_GLIAL_V1.0,CTSW,mRNA,FALSE,,,Apoptosis,hsa04142,Cytotoxic cells,CTSW,,,,,
NM_033423.3:705,NS_HS_GLIAL_V1.0,GZMH,mRNA,FALSE,,,,,Cytotoxic cells,GZMH,,,,,
NM_001083116.1:631,NS_HS_GLIAL_V1.0,PRF1,mRNA,FALSE,,,Apoptosis,hsa04650;hsa04940;hsa05320;hsa05330;hsa05332;hsa05416,Cytotoxic cells,PRF1,,,,,
NM_005601.3:543,NS_HS_GLIAL_V1.0,NKG7,mRNA,FALSE,,,,,Cytotoxic cells,NKG7,,,,,
NM_001351060.1:1868,NS_HS_GLIAL_V1.0,KLRD1,mRNA,FALSE,,,,hsa04612;hsa04650;hsa05332,Cytotoxic cells,KLRD1,,,,,
NM_181755.1:155,NS_HS_GLIAL_V1.0,HSD11B1,mRNA,FALSE,,,,,DC,HSD11B1,,,,,
NM_005408.2:320,NS_HS_GLIAL_V1.0,CCL13,mRNA,FALSE,,,NF-kappaB Signaling;Chemokines,hsa04060;hsa04062;hsa04064,DC,CCL13,,,,,
NM_001144899.1:665,NS_HS_GLIAL_V1.0,CD209,mRNA,FALSE,,,,hsa04145;hsa05152;hsa05162,DC,CD209,,,,,
NM_005424.2:2610,NS_HS_GLIAL_V1.0,TIE1,mRNA,FALSE,,,,,Endothelial Cells,TIE1,,,,,
NM_025107.2:159,NS_HS_GLIAL_V1.0,MYCT1,mRNA,FALSE,,,,,Endothelial Cells,MYCT1,,,,,
NM_000873.3:415,NS_HS_GLIAL_V1.0,ICAM2,mRNA,FALSE,,,Cell Migration,hsa04514;hsa04650,Endothelial Cells,ICAM2,,,,,
NM_016242.3:160,NS_HS_GLIAL_V1.0,EMCN,mRNA,FALSE,,,,,Endothelial Cells,EMCN,,,,,
NM_001039724.3:1125,NS_HS_GLIAL_V1.0,NOSTRIN,mRNA,FALSE,,,,,Endothelial Cells,NOSTRIN,,,,,
NM_002019.4:530,NS_HS_GLIAL_V1.0,FLT1,mRNA,FALSE,,,MAPK & PI3K;Hypoxia,hsa04014;hsa04015;hsa04060;hsa04066;hsa04144;hsa04151;hsa04510;hsa05202;hsa05323,Endothelial Cells,FLT1,,,,,
NM_138961.2:715,NS_HS_GLIAL_V1.0,ESAM,mRNA,FALSE,,,Cell Migration;Blood Brain Barrier,hsa04514;hsa04670,Endothelial Cells,ESAM,,,,,
